uid,info
1,"性别:女,年级:研二,专业:通信,爱好:种植 羽毛球 舞蹈 天文 围棋,标签:社交普通型 高冷 作息规律"
2,"性别:男,年级:大三,专业:会计,爱好:围棋 骑行 足球 音乐,标签:可爱"
3,"性别:女,年级:大一,专业:会计,爱好:音乐 动漫 羽毛球,标签:技术大牛 社恐星人 可爱 作息规律 镇圈大佬"
4,"性别:男,年级:研一,专业:体育,爱好:缝纫 羽毛球,标签:技术大牛 运动达人"
5,"性别:女,年级:大一,专业:英语,爱好:种植 剪纸,标签:社交牛逼症"
6,"性别:男,年级:大四,专业:会计,爱好:机械 缝纫 绘画 骑行 足球,标签:熬夜的神 技术大牛"
7,"性别:男,年级:研二,专业:生物,爱好:足球 绘画 跑步,标签:技术大牛 运动达人 作息规律"
8,"性别:女,年级:研一,专业:体育,爱好:种植 机械 编程,标签:无标签"
9,"性别:女,年级:研三,专业:生物,爱好:种植 围棋,标签:吃货"
10,"性别:女,年级:大一,专业:计算机,爱好:音乐 羽毛球 舞蹈 足球 骑行,标签:宅属性 高冷 运动达人 镇圈大佬 吃货"
11,"性别:女,年级:博士,专业:土木,爱好:种植 编程 足球 天文 缝纫,标签:高冷 社恐星人"
12,"性别:男,年级:大三,专业:土木,爱好:羽毛球 跑步 围棋,标签:镇圈大佬 运动达人 作息规律"
13,"性别:女,年级:大四,专业:土木,爱好:围棋 种植,标签:可爱 宅属性 作息规律"
14,"性别:女,年级:大一,专业:计算机,爱好:骑行 舞蹈 音乐 跑步,标签:社交普通型 熬夜的神 吃货 可爱"
15,"性别:女,年级:大二,专业:电气,爱好:足球 舞蹈 绘画 围棋,标签:高冷 熬夜的神"
16,"性别:女,年级:研二,专业:体育,爱好:羽毛球 足球,标签:温和 技术大牛 社交牛逼症 作息规律"
17,"性别:男,年级:大二,专业:法学,爱好:机械 羽毛球 种植 跑步,标签:温和 社恐星人 运动达人 早睡早起"
18,"性别:男,年级:研一,专业:计算机,爱好:天文,标签:运动达人 可爱 熬夜的神 社交牛逼症 镇圈大佬"
19,"性别:男,年级:大三,专业:法学,爱好:种植,标签:熬夜的神 镇圈大佬"
20,"性别:男,年级:研二,专业:医学,爱好:绘画 羽毛球,标签:温和 吃货 运动达人 宅属性"
21,"性别:女,年级:研三,专业:英语,爱好:骑行 绘画 舞蹈 剪纸,标签:宅属性 技术大牛 吃货"
22,"性别:女,年级:大三,专业:新闻,爱好:舞蹈 动漫 围棋,标签:社交牛逼症 早睡早起"
23,"性别:男,年级:大三,专业:通信,爱好:羽毛球 种植 动漫,标签:社交普通型 高冷"
24,"性别:男,年级:大四,专业:电气,爱好:绘画,标签:段子手 镇圈大佬 社恐星人 早睡早起"
25,"性别:女,年级:研三,专业:土木,爱好:种植 机械 编程 音乐 羽毛球,标签:宅属性 技术大牛 吃货"
26,"性别:男,年级:大一,专业:会计,爱好:绘画 围棋,标签:社恐星人"
27,"性别:男,年级:大二,专业:土木,爱好:剪纸 天文,标签:高冷 社交牛逼症 早睡早起"
28,"性别:女,年级:博士,专业:体育,爱好:机械 缝纫,标签:社恐星人 早睡早起"
29,"性别:男,年级:大三,专业:新闻,爱好:动漫 天文,标签:宅属性 运动达人 温和 段子手 吃货"
30,"性别:男,年级:大四,专业:会计,爱好:音乐 跑步,标签:熬夜的神 社恐星人"
31,"性别:女,年级:大二,专业:会计,爱好:动漫,标签:社交普通型 宅属性 可爱"
32,"性别:女,年级:大四,专业:土木,爱好:天文,标签:宅属性 高冷 运动达人 段子手 吃货"
33,"性别:女,年级:研二,专业:医学,爱好:跑步 骑行,标签:段子手 社恐星人"
34,"性别:女,年级:博士,专业:计算机,爱好:跑步 绘画 种植 骑行 机械,标签:社交牛逼症 早睡早起"
